"active","pathotype","strain","LB_1","LB_2","LB_3","TSB_1","TSB_2","TSB_3","BHI_1","BHI_2","BHI_3","M63_1","M63_2","M63_3"
"W1","HFEC",5527,0.0192,0.0307,0.015,0.012,0.028,0.0135,0.0203,0.0224,0.0315,0.0212,0.0712,0.0569
"W1","HFEC",5528,0.008,0.0168,0.0094,0.0087,0.0291,0.0318,0.0131,0.0783,0.0231,0.016,0.1241,0.0166
"W1","HFEC",5529,0.0178,0.0265,0.0189,0.0148,0.0221,0.0085,0.0209,0.0289,0.0379,0.0406,0.0966,0.1916
"W1","HFEC",5531,0.0203,0.0668,0.0313,0.014,0.0302,0.048,0.0488,0.0476,0.0476,0.0093,0.0181,0.0084
"W1","HFEC",5532,0.0919,0.0519,0.1426,0.1094,0.0172,0.096,0.1783,0.1611,0.3097,0.0299,0.0677,0.0153
"W1","HFEC",5535,0.0055,0.046,0.0351,0.0209,0.0858,0.0394,0.0325,0.12,0.064,0.0138,0.0108,0.0148
"W1","HFEC",5536,0.0135,0.0521,0.0361,0.0208,0.0286,0.0888,0.0281,0.055,0.0925,0.0103,0.0809,0.0659
"W1","HFEC",5537,0.0167,0.0354,0.042,0.0214,0.0333,0.1124,0.0328,0.0443,0.0747,0.0309,0.1071,0.0503
"W1","HFEC",5538,0.0201,0.1028,0.0207,0.0283,0.0269,0.0229,0.031,0.0974,0.0424,0.008,0.0082,0.0083
"W1","HFEC",5539,0.0202,0.0604,0.0513,0.0457,0.0959,0.0415,0.0287,0.0584,0.04,0.208,0.0414,0.095
"W1","HFEC",5540,0.0162,0.0466,0.0166,0.0212,0.0351,0.0238,0.0247,0.0571,0.0358,0.0111,0.0146,0.0146
"W1","HFEC",5541,0.0425,0.0711,0.0501,0.0463,0.0598,0.0553,0.0475,0.0607,0.0811,0.0135,0.0131,0.0275
"W1","HFEC",5542,0.0395,0.0715,0.0267,0.0288,0.1153,0.0317,0.0392,0.0642,0.0336,0.0308,0.027,0.0397
"W1","HFEC",5543,0.0194,0.0342,0.0193,0.0131,0.0229,0.0303,0.0434,0.0647,0.0347,0.0098,0.0221,0.0202
"W1","HFEC",5544,0.0286,0.0223,0.0174,0.0407,0.0135,0.0113,0.0413,0.0313,0.0201,0.0089,0.0094,0.0081
"W1","HFEC",5545,0.0468,0.0472,0.0446,0.0319,0.0359,0.0837,0.2129,0.0865,0.0964,0.0479,0.1207,0.0295
"W1","HFEC",5547,0.0426,0.0253,0.0407,0.0207,0.0214,0.0285,0.0444,0.019,0.0259,0.0636,0.0415,0.0381
"W1","HFEC",5548,0.0259,0.1089,0.0417,0.0148,0.0266,0.0233,0.0538,0.0443,0.0339,0.1298,0.0685,0.014
"W1","HFEC",5549,0.0473,0.0314,0.0352,0.0222,0.0108,0.0378,0.0568,0.0457,0.0384,0.0153,0.0445,0.0132
"W1","HFEC",5551,0.1337,0.0859,0.0985,0.1378,0.0874,0.1073,0.1418,0.0751,0.1201,0.1075,0.0564,0.0232
"W1","HFEC",5553,0.0426,0.0729,0.022,0.0402,0.0581,0.0582,0.0688,0.0687,0.0347,0.1664,0.0671,0.0287
"W1","HFEC",5554,0.0335,0.0476,0.0281,0.045,0.0575,0.0677,0.0443,0.0696,0.0671,0.009,0.0187,0.0184
"W1","HFEC",5555,0.0197,0.069,0.021,0.0471,0.0564,0.0429,0.0357,0.089,0.0445,0.0103,0.0157,0.0176
"W1","HFEC",5556,0.0232,0.0877,0.0157,0.0303,0.043,0.0151,0.0367,0.0981,0.029,0.1391,0.1483,0.0659
"W1","UPEC",5228,0.033,0.0321,0.0172,0.0297,0.0339,0.0131,0.0341,0.0327,0.0288,0.017,0.1651,0.0313
"W1","UPEC",5229,0.0171,0.0194,0.006,0.0273,0.0257,0.0118,0.0436,0.0471,0.0101,-0.0012,0.008,0.0035
