pathotype,strain
HFEC,5527
HFEC,5528
HFEC,5529
HFEC,5531
HFEC,5532
HFEC,5535
HFEC,5536
HFEC,5537
HFEC,5538
HFEC,5539
HFEC,5540
HFEC,5541
HFEC,5542
HFEC,5543
HFEC,5544
HFEC,5545
HFEC,5547
HFEC,5548
HFEC,5549
HFEC,5551
HFEC,5553
HFEC,5554
HFEC,5555
HFEC,5556
UPEC,5228
UPEC,5229
UPEC,5231
UPEC,5232
UPEC,5233
UPEC,5235
UPEC,5237
UPEC,5238
UPEC,5239
UPEC,5240
UPEC,5241
UPEC,5242
UPEC,5243
UPEC,5245
UPEC,5246
UPEC,5247
UPEC,5248
UPEC,5249
UPEC,5250
UPEC,5253
UPEC,5254
UPEC,5255
UPEC,5256
UPEC,5257
ETEC,5200
ETEC,5201
ETEC,5202
ETEC,5203
ETEC,5204
ETEC,5205
ETEC,5206
ETEC,5286
ETEC,5287
ETEC,5288
ETEC,5637
ETEC,5638
ETEC,5640
ETEC,5641
ETEC,5642
ETEC,5680
ETEC,5682
ETEC,5686
ETEC,5687
ETEC,5688
ETEC,5689
ETEC,5690
ETEC,5691
ETEC,5692
EPEC,5207
EPEC,5208
EPEC,5209
EPEC,5210
EPEC,5211
EPEC,5212
EPEC,5263
EPEC,5267
EPEC,5268
EPEC,5281
EPEC,5282
EPEC,5285
EPEC,5289
EPEC,5291
EPEC,5292
EPEC,5631
EPEC,5632
EPEC,5633
EPEC,5651
EPEC,5652
EPEC,5653
EPEC,5654
EPEC,5655
EPEC,5656
EAEC,5213
EAEC,5214
EAEC,5215
EAEC,5216
EAEC,5260
EAEC,5264
EAEC,5265
EAEC,5266
EAEC,5269
EAEC,5270
EAEC,5271
EAEC,5272
EAEC,5275
EAEC,5276
EAEC,5277
EAEC,5278
EAEC,5279
EAEC,5280
EAEC,5634
EAEC,5635
EAEC,5636
EAEC,5639
EAEC,5643
EAEC,5644
SAEC,5147
SAEC,5148
SAEC,5149
SAEC,5150
SAEC,5151
SAEC,5152
SAEC,5153
SAEC,5155
SAEC,5156
SAEC,5157
SAEC,5158
SAEC,5159
SAEC,5160
SAEC,5161
SAEC,5162
SAEC,5163
SAEC,5164
SAEC,5165
SAEC,5166
SAEC,5167
SAEC,5168
SAEC,5169
SAEC,5170
SAEC,5171
CAEC,5180
CAEC,5181
CAEC,5182
CAEC,5183
CAEC,5184
CAEC,5185
CAEC,5186
CAEC,5187
CAEC,5188
CAEC,5189
CAEC,5190
CAEC,5191
CAEC,5192
CAEC,5193
CAEC,5194
CAEC,5195
CAEC,5196
CAEC,5198
CAEC,5199
AFEC,5559
AFEC,5560
AFEC,5561
AFEC,5562
AFEC,5563
AFEC,5564
AFEC,5565
AFEC,5566
AFEC,5567
AFEC,5568
AFEC,5569
AFEC,5570
AFEC,5571
AFEC,5572
AFEC,5573
AFEC,5574
AFEC,5575
AFEC,5576
AFEC,5577
AFEC,5578
AFEC,5579
AFEC,5580
AFEC,5581
AFEC,5582
